userId,itemId,rating,timestamp
1,2,3.0,891717742
1,3,1.0,878887116
1,5,1.0,886397596
1,8,5.0,891628467
1,9,3.0,886324817
1,11,2.0,879372434
1,13,5.0,876042340
1,14,3.0,891035994
1,16,3.0,879485318
1,18,2.0,879539794
1,20,2.0,892079237
1,21,4.0,886176814
1,22,4.0,892738452
1,24,2.0,874833878
1,25,4.0,887736532
1,27,5.0,892430094
1,29,4.0,875747401
1,31,3.0,877052329
2,2,4.0,880731963
2,4,4.0,886890835
2,5,1.0,878962623
2,7,1.0,874791932
2,8,4.0,891350932
2,10,4.0,885329322
2,11,2.0,884114233
2,12,3.0,874791805
2,13,5.0,875333916
2,15,5.0,879741196
2,17,5.0,886519097
2,19,4.0,886271884
2,20,2.0,876535131
2,22,5.0,885853415
2,23,5.0,888205088
2,26,5.0,880474293
2,27,5.0,881107687
2,29,3.0,881171009
2,31,4.0,884112673
2,32,3.0,882141053
3,1,4.0,884920949
3,2,5.0,879024232
3,4,5.0,883326620
3,6,4.0,891550094
3,8,3.0,879987440
3,9,1.0,890251826
3,10,3.0,884923047
3,12,2.0,887249482
3,14,3.0,886475558
3,16,5.0,884364867
3,17,5.0,879539643
3,18,3.0,878192429
3,20,3.0,874791025
3,23,5.0,878971773
3,24,3.0,881108684
3,26,4.0,888954412
3,28,4.0,877635573
3,29,4.0,879876194
3,31,2.0,885557505
4,1,4.0,879373848
4,3,4.0,881961214
4,6,5.0,891383835
4,7,4.0,877531942
4,8,3.0,888905170
4,12,5.0,885848672
4,14,4.0,875320714
4,15,3.0,884207492
4,17,5.0,884288058
4,19,4.0,884304936
4,21,4.0,885844430
4,22,3.0,879373460
4,24,4.0,879376641
4,25,4.0,891720887
4,27,4.0,884182806
4,28,5.0,878347874
4,30,2.0,879524643
4,31,5.0,880037702
5,1,3.0,878089182
5,2,3.0,890687042
5,4,3.0,878769629
5,5,4.0,879791710
5,8,3.0,878092059
5,9,5.0,888205300
5,10,5.0,877533771
5,12,4.0,891352010
5,13,1.0,886434402
5,14,4.0,879876734
5,16,2.0,884714402
5,18,4.0,884538403
5,19,2.0,880605157
5,20,5.0,886323090
5,23,4.0,889502823
5,24,3.0,883698454
5,25,3.0,883452363
5,27,3.0,877878184
5,28,4.0,879525876
5,29,4.0,876860807
5,31,4.0,877886846
5,32,4.0,874724988
6,3,5.0,878870987
6,4,3.0,891387947
6,6,2.0,888067405
6,7,3.0,881108425
6,9,4.0,876973939
6,10,4.0,875537965
6,12,4.0,875744136
6,13,3.0,875636053
6,15,4.0,883612356
6,18,5.0,887401701
6,19,4.0,886472768
6,20,3.0,884183336
6,21,1.0,892174404
6,23,3.0,880130193
6,24,2.0,875542174
6,26,4.0,881515011
6,27,3.0,891347949
6,29,4.0,878183481
6,30,5.0,884128554
6,32,5.0,878955442
7,1,3.0,874786392
7,3,4.0,875801662
7,5,3.0,876857977
7,6,3.0,888906966
7,7,2.0,891385985
7,9,3.0,886443455
7,10,4.0,882164999
7,12,4.0,880036718
7,13,3.0,892910207
7,14,4.0,882140926
7,16,3.0,875654637
7,19,5.0,888549622
7,21,3.0,888104153
7,23,4.0,874724710
7,24,4.0,886323648
7,25,3.0,882922806
7,28,2.0,892838559
7,29,5.0,884238860
7,31,4.0,887665548
7,32,4.0,891383319
8,2,3.0,879521396
8,4,1.0,886987605
8,5,4.0,877877775
8,6,5.0,879524921
8,8,5.0,883599249
8,9,3.0,880937882
8,11,1.0,877727122
8,12,4.0,882078621
8,14,2.0,886323068
8,15,2.0,879541148
8,18,4.0,877819599
8,20,5.0,884128458
8,21,1.0,891632142
8,23,2.0,879484804
8,24,4.0,879374686
8,27,4.0,882078040
8,28,5.0,882157581
8,30,3.0,875747190
8,31,3.0,881961671
9,2,3.0,890881335
9,3,3.0,889502324
9,4,3.0,879525876
9,6,5.0,874775038
9,7,5.0,879966498
9,9,2.0,875744173
9,10,4.0,883601089
9,11,5.0,879394264
9,12,4.0,880308578
9,14,2.0,881368243
9,15,4.0,891374868
9,16,1.0,875744501
9,18,5.0,879283786
9,20,4.0,880308755
9,21,2.0,878961624
9,22,4.0,875240090
9,25,4.0,886122952
9,26,1.0,878961814
9,27,1.0,884140579
9,29,3.0,891450023
9,31,4.0,889651549
